key;fr;en
event_75_choix1;Diffuser tout, coûte que coûte.;Broadcast everything, whatever the cost.
event_75_choix2;Restituer aux familles d’abord.;Return them to the families first.
event_76_titre;Nénuphars Noirs;Black Water Lilies
event_76_desc;"La mare de Valmont noircit d’un coup. Les nénuphars s’éteignent ; odeur métallique dans l’air.";"The Valmont pond turns black all at once. The water lilies go dark; a metallic smell fills the air."
event_76_choix1;Prélever et analyser sur place.;Sample and analyze on site.
event_76_choix2;Boucler la zone sans délai.;Seal off the area without delay.
event_77_titre;Silence de SOLIS;SILENCE OF SOLIS
event_77_desc;SOLIS vacille puis se tait. Feux, soins, et transports s’ouvrent au chaos minuté.;SOLIS flickers, then falls silent. Traffic lights, care systems, and transit open into timed chaos.
event_77_choix1;Rebooter des modules critiques.;Reboot critical modules.
event_77_choix2;Isoler le noyau défaillant.;Isolate the failing core.
event_78_titre;Rumeur de Feu;Rumor of Fire
event_78_desc;Au Café des Courants, une coordonnée mène à un dépôt saboté ce soir. Le temps presse.;At Cafe des Courants, a coordinate points to a depot sabotaged tonight. Time is running out.
event_78_choix1;Alerter publiquement en direct.;Alert the public live.
event_78_choix2;Monter une embuscade discrète.;Set up a discreet ambush.
event_79_titre;Froid ou Mémoire;Cold or Memory
event_79_desc;À la Crypte d’Argon, la cryo lâche. Public et disques maîtres sont en danger.;At the Argon Crypt, the cryo system fails. Visitors and master discs are in danger.
event_79_choix1;Évacuer les personnes d’abord.;Evacuate people first.
event_79_choix2;Sauver les archives analogiques.;Save the analog archives.
event_80_titre;Lucioles Éteintes;Extinguished Fireflies
event_80_desc;À Lumen‑Nord, blackout total. La foule cherche les sorties dans l’obscurité violacée.;At Lumen-Nord, total blackout. The crowd searches for exits in the violet darkness.
event_80_choix1;Ouvrir toutes les issues d’urgence.;Open every emergency exit.
event_80_choix2;Allumer un balisage minimal.;Turn on minimal guidance lights.
event_81_titre;Prière de Quartz;Quartz Prayer
event_81_desc;Au Labyrinthe Quartz, un mariage se perd entre colonnes mouvantes. Des voix paniquées résonnent.;At the Quartz Labyrinth, a wedding gets lost among moving columns. Panicked voices echo.
event_81_choix1;Forcer l’arrêt des vérins.;Force the actuators to stop.
event_81_choix2;Chercher à la voix, lentement.;Search by voice, slowly.
event_82_titre;Serment des Gardiens;Oath of the Guardians
event_82_desc;Les Gardiens du Rails appellent à un arrêt total des lignes. La ville retient son souffle.;The Guardians of the Rails call for a total shutdown of the lines. The city holds its breath.
event_82_choix1;Assurer le piquet avec eux.;Hold the picket with them.
event_82_choix2;Négocier un service minimum.;Negotiate minimum service.
event_83_titre;Pulsar Saisi;Seized Pulsar
event_83_desc;Le Pulsar est perquisitionné. Des disques d’archives risquent l’effacement immédiat.;The Pulsar is raided. Archive discs risk immediate erasure.
event_83_choix1;Publier une copie chiffrée.;Publish an encrypted copy.
event_83_choix2;Exfiltrer les disques en secret.;Exfiltrate the discs in secret.
event_84_titre;Descente d’Orage;Storm Descent
event_84_desc;Un Azur Néo en perdition approche Valmont sous la grêle. Les toits sonnent la détresse.;A failing Azur Neo approaches Valmont under the hail. Rooftops ring with distress.
event_84_choix1;Guider l’atterrissage à vue.;Guide the landing by sight.
event_84_choix2;Fermer l’espace aérien.;Close the airspace.
event_85_titre;Murmure du -5;Whisper from -5
event_85_desc;Dans Subterranea, une voix implore derrière le sas niveau -5. Les capteurs indiquent pression instable.;In Subterranea, a voice pleads behind the level -5 airlock. Sensors show unstable pressure.
event_85_choix1;Ouvrir, malgré le risque.;Open it despite the risk.
event_85_choix2;Sceller et chercher un détour.;Seal it and look for a detour.
event_86_titre;Opaline Vacille;Opaline Wavers
event_86_desc;Une alerte structurelle grimpe à la Tour Opaline. Les ascenseurs se figent, des cris montent.;A structural alert rises in Tour Opaline. Elevators freeze, screams rise.
event_86_choix1;Lancer l’évacuation totale.;Launch the full evacuation.
event_86_choix2;Vérifier d’abord la validité.;Verify the alert first.
event_87_titre;Marché des Ombres;Shadow Market
event_87_desc;À la Galerie Nébuleuse, une vente noire d’identités se prépare. Des visages défilent sur les miroirs.;At Galerie Nebuleuse, a black-market identity sale is being prepared. Faces scroll across the mirrors.
event_87_choix1;Couper le courant de la ruelle.;Cut power to the alley.
event_87_choix2;Surenchérir pour les sauver.;Outbid them to save the identities.
event_88_titre;Rhizome Bleu;Blue Rhizome
event_88_desc;Aux Serres Lysiane, un parasite bleuit les racines. Les dômes pourraient contaminer la ville.;At the Lysiane Greenhouses, a parasite turns the roots blue. The domes could contaminate the city.
event_88_choix1;Mettre le feu aux serres.;Set fire to the greenhouses.
event_88_choix2;Tenter une quarantaine stricte.;Attempt a strict quarantine.
event_89_titre;Eau Qui Monte;Rising Water
event_89_desc;Au Bunker Sigma, la crue test devient réelle. Le niveau grimpe au‑delà du scénario prévu.;At Bunker Sigma, the test flood becomes real. The level climbs beyond the planned scenario.
event_89_choix1;Ouvrir les vannes manuelles.;Open the manual sluices.
event_89_choix2;Déclencher l’évacuation totale.;Trigger the full evacuation.
event_90_titre;Dernier Cornet;Last Cone
event_90_desc;Tito Mansi manque à l’appel. Des traces mènent vers Valmont, puis s’arrêtent net.;Tito Mansi is missing. Tracks lead toward Valmont, then stop dead.
event_90_choix1;Lancer des recherches immédiates.;Launch an immediate search.
event_90_choix2;Coordonner d’abord les secours.;Coordinate rescue first.
event_91_titre;La Vague de Lagon Quantic;The Quantic Lagoon Wave
event_91_desc;"Au kiosque de Tito Mansi au Square Valmont, une nouvelle saveur, ""Lagon Quantic"", est un succès fulgurant. Mais un étrange bourdonnement se dégage de la glace, synchronisé avec le Néon-Ring...";"At Tito Mansi's kiosk in Square Valmont, a new flavor, ""Quantic Lagoon"", is a runaway success. But a strange hum comes from the ice cream, synchronized with the Neon Ring..."
event_91_choix1;Manger la glace pour ressentir ses effets;Eat the ice cream to feel its effects
event_91_choix2;Prévenir Tito, il a peut-être un problème avec sa recette;Warn Tito, he may have a problem with his recipe
event_92_titre;Le graffiti du Pont des Ombres;The Pont des Ombres Graffiti
event_92_desc;Sur le Pont des Ombres, un graffiti signé des Gardiens du Rails refuse de s'effacer, bloquant le trafic des drones Azur. La compagnie Azur menace d'utiliser un purificateur d'ondes puissant pour le supprimer, quitte à brouiller tout le réseau.;On the Pont des Ombres, graffiti signed by the Guardians of the Rails refuses to fade, blocking Azur drone traffic. Azur threatens to use a powerful wave purifier to remove it, even if it scrambles the whole network.
event_92_choix1;Aider les Gardiens à stabiliser leur graffiti pour que le drone ne puisse pas le supprimer;Help the Guardians stabilize their graffiti so the drone cannot remove it
event_92_choix2;Pirater le graffiti pour le rendre inoffensif et rétablir le trafic;Hack the graffiti to make it harmless and restore traffic
event_93_titre;Jetons Fantômes;Phantom Tokens
event_93_desc;Au Pixel‑Palace, vous avez trouvé un bug qui crédite des jetons infinis sur quelques bornes. ;At the Pixel-Palace, you found a bug that credits infinite tokens on a few cabinets.
event_93_choix1;Signaler le bug au gérant.;Report the bug to the manager.
event_93_choix2;Profitez du bug avant qu’il ne soit patché.;Exploit the bug before it gets patched.
